age;Medu;Fedu;Mjob;Fjob;reason;guardian;traveltime;studytime;failures;famrel;freetime;goout;Dalc;Walc;health;absences;total_grades;grades;school_numeric;sex_numeric;address_numeric;famsize_numeric;Pstatus_numeric;schoolsup_numeric;famsup_numeric;paid_numeric;activities_numeric;nursery_numeric;higher_numeric;internet_numeric;romantic_numeric
18;4;4;at_home;teacher;course;mother;2;2;0;4;3;4;1;1;3;4;7.333.333.333.333.330;average;1;1;1;0;0;1;0;0;0;1;1;0;0
17;1;1;at_home;other;course;father;1;2;0;5;3;3;1;1;3;2;10.333.333.333.333.300;average;1;1;1;0;1;0;1;0;0;0;1;1;0
15;1;1;at_home;other;other;mother;1;2;0;4;3;2;2;3;3;6;12.333.333.333.333.300;average;1;1;1;1;1;1;0;0;0;1;1;1;0
15;4;2;health;services;home;mother;1;3;0;3;2;2;1;1;5;0;14.0;high;1;1;1;0;1;0;1;0;1;1;1;1;1
16;3;3;other;other;home;father;1;2;0;4;3;2;1;2;5;0;12.333.333.333.333.300;average;1;1;1;0;1;0;1;0;0;1;1;0;0
16;4;3;services;other;reputation;mother;1;2;0;5;4;2;1;2;5;6;12.333.333.333.333.300;average;1;0;1;1;1;0;1;0;1;1;1;1;0
16;2;2;other;other;home;mother;1;2;0;4;4;4;1;1;3;0;12.666.666.666.666.600;average;1;0;1;1;1;0;0;0;0;1;1;1;0
17;4;4;other;teacher;home;mother;2;2;0;4;1;4;1;1;1;2;12.0;average;1;1;1;0;0;1;1;0;0;1;1;0;0
15;3;2;services;other;home;mother;1;2;0;4;2;2;1;1;1;0;16.0;high;1;0;1;1;0;0;1;0;0;1;1;1;0
15;3;4;other;other;home;mother;1;2;0;5;5;1;1;1;5;0;12.333.333.333.333.300;average;1;0;1;0;1;0;1;0;1;1;1;1;0
15;4;4;teacher;health;reputation;mother;1;2;0;3;3;3;1;2;2;2;14.0;high;1;1;1;0;1;0;1;0;0;1;1;1;0
15;2;1;services;other;reputation;father;3;3;0;5;2;2;1;1;4;0;11.666.666.666.666.600;average;1;1;1;0;1;0;1;0;1;1;1;1;0
15;4;4;health;services;course;father;1;1;0;4;3;3;1;3;5;0;12.333.333.333.333.300;average;1;0;1;1;1;0;1;0;1;1;1;1;0
15;4;3;teacher;other;course;mother;2;2;0;5;4;3;1;2;3;0;12.333.333.333.333.300;average;1;0;1;0;1;0;1;0;0;1;1;1;0
15;2;2;other;other;home;other;1;3;0;4;5;2;1;1;3;0;14.333.333.333.333.300;high;1;0;1;0;0;0;1;0;0;1;1;1;1
16;4;4;health;other;home;mother;1;1;0;4;4;4;1;2;2;6;17.0;high;1;1;1;0;1;0;1;0;0;1;1;1;0
16;4;4;services;services;reputation;mother;1;3;0;3;2;3;1;2;2;10;13.333.333.333.333.300;average;1;1;1;0;1;0;1;0;1;1;1;1;0
16;3;3;other;other;reputation;mother;3;2;0;5;3;2;1;1;4;2;13.666.666.666.666.600;average;1;1;1;0;1;1;1;0;1;1;1;0;0
17;3;2;services;services;course;mother;1;1;3;5;5;5;2;4;5;2;7.666.666.666.666.660;average;1;0;1;0;1;0;1;1;1;1;1;1;0
16;4;3;health;other;home;father;1;1;0;3;1;3;1;3;5;6;12.0;average;1;0;1;1;1;0;0;0;1;1;1;1;0
15;4;3;teacher;other;reputation;mother;1;2;0;4;4;1;1;1;1;0;13.0;average;1;0;1;0;1;0;0;0;0;1;1;1;0
15;4;4;health;health;other;father;1;1;0;5;4;2;1;1;5;0;11.666.666.666.666.600;average;1;0;1;0;1;0;1;1;0;1;1;1;0
16;4;2;teacher;other;course;mother;1;2;0;4;5;1;1;3;5;0;13.0;average;1;0;1;1;1;0;0;0;1;1;1;1;0
16;2;2;other;other;reputation;mother;2;2;0;5;4;4;2;4;5;2;10.0;average;1;0;1;1;1;0;1;0;1;1;1;1;0
15;2;4;services;health;course;mother;1;3;0;4;3;2;1;1;5;2;10.333.333.333.333.300;average;1;1;0;0;1;1;1;0;1;1;1;1;0
16;2;2;services;services;home;mother;1;1;0;1;2;2;1;3;5;6;11.0;average;1;1;1;0;1;0;1;0;0;0;1;1;0
15;2;2;other;other;home;mother;1;1;0;4;2;2;1;2;5;8;11.666.666.666.666.600;average;1;0;1;0;1;0;1;0;0;1;1;1;0
15;4;2;health;services;other;mother;1;1;0;2;2;4;2;4;1;0;11.0;average;1;0;1;0;1;0;0;0;0;1;1;1;0
16;3;4;services;other;home;mother;1;2;0;5;3;3;1;1;5;2;12.333.333.333.333.300;average;1;0;1;1;0;1;1;1;1;1;1;1;0
16;4;4;teacher;teacher;home;mother;1;2;0;4;4;5;5;5;5;4;11.666.666.666.666.600;average;1;0;1;0;1;0;1;1;1;1;1;1;1
15;4;4;health;services;home;mother;1;2;0;5;4;2;3;4;5;0;10.666.666.666.666.600;average;1;0;1;0;1;0;1;1;0;0;1;1;0
15;4;4;services;services;reputation;mother;2;2;0;4;3;1;1;1;5;2;15.0;high;1;0;1;0;1;0;1;0;1;1;1;1;0
15;4;3;teacher;at_home;course;mother;1;2;0;4;5;2;1;1;5;0;14.0;high;1;0;0;0;1;0;1;0;1;1;1;1;1
15;3;3;other;other;course;mother;1;2;0;5;3;2;1;1;2;0;12.333.333.333.333.300;average;1;0;1;1;1;0;0;0;1;0;1;1;0
16;3;2;other;other;home;mother;1;1;0;5;4;3;1;1;5;4;12.0;average;1;0;1;0;1;0;1;0;0;0;1;1;0
